x_over_L,ux,ux_block_sd,ux_naive_block_se,uy,uy_block_sd,uy_naive_block_se,T,T_block_sd,T_naive_block_se
0.12749999999999995,2.9024957410296535e-05,5.068653562953101e-05,1.3546546460586807e-05,-0.00013284355402223992,5.4437490847086915e-05,1.4549031410388687e-05,0.7251584686307815,6.372278936074223e-05,1.7030631822675794e-05
0.13249999999999995,2.3016917737764097e-05,5.4343546492109166e-05,1.452392372540667e-05,-0.00010462091426455367,5.275712387948915e-05,1.4099934447759891e-05,0.724753119340291,7.369189675389443e-05,1.9694987845327983e-05
0.13749999999999996,2.918933520229651e-05,5.905605085611139e-05,1.5783393494247624e-05,-0.00013830474455984963,5.669556554156453e-05,1.515252725756579e-05,0.7243151773696253,8.663897011579835e-05,2.315523875116169e-05
0.14249999999999996,3.469893860002483e-05,6.653753478324119e-05,1.7782904179960172e-05,-0.00010938138682101966,6.276670190707774e-05,1.6775106702432532e-05,0.723846234752417,9.749443038329492e-05,2.6056482543783803e-05
0.14749999999999996,3.015823459419339e-05,5.237343937281841e-05,1.3997390450004512e-05,-0.00013057716558818725,7.293905005398457e-05,1.9493781101340402e-05,0.7234006721462248,6.147446545165229e-05,1.642974198251102e-05
0.15249999999999997,2.7458021584959833e-05,4.8764060798005664e-05,1.303274344956796e-05,-0.0001480497776640271,5.5988511703134285e-05,1.4963559170607978e-05,0.7229212922417858,7.234141481085082e-05,1.9334056364049843e-05
0.15749999999999997,3.6361060355824606e-05,5.424138474003123e-05,1.4496619848670368e-05,-0.0001249910919768763,4.5580292961250894e-05,1.218184570355605e-05,0.7224238617977222,5.950577083037591e-05,1.5903586213082383e-05
0.16249999999999998,3.4965823854113275e-05,5.551148239053178e-05,1.4836067724093201e-05,-0.0001275217980840404,5.435613922130543e-05,1.4527289273850731e-05,0.7218960493165536,7.86143826848891e-05,2.101057754854205e-05
0.16749999999999998,3.801493818754418e-05,5.023163572337982e-05,1.3424969346722992e-05,-0.00012017462440223762,5.281132491675131e-05,1.4114420284291516e-05,0.7213730337164591,8.687435606837473e-05,2.3218148293175994e-05
0.1725,3.829608296976893e-05,5.179002562330329e-05,1.3841466566760316e-05,-0.00012926425760294275,4.928990249060484e-05,1.317328055338135e-05,0.7208129679098451,7.978160595482011e-05,2.1322531089252894e-05
0.1775,3.892169575788517e-05,5.770585858445268e-05,1.542253943090356e-05,-0.0001352939930577827,4.2263677545935744e-05,1.1295442948713032e-05,0.720251157589503,6.512893889400123e-05,1.7406441093249168e-05
0.1825,4.197976350846554e-05,5.092361978828032e-05,1.360990986729191e-05,-0.00011926991327399953,5.9248948567296704e-05,1.5834947576101072e-05,0.719678901274188,6.954734310369646e-05,1.85873092896034e-05
0.1875,3.800785456579584e-05,4.759014978623354e-05,1.2719002534667075e-05,-0.00010049085823829979,4.789010574880692e-05,1.279916913774347e-05,0.7190957751452519,7.587146358258595e-05,2.02775015827952e-05
0.1925,4.3223728403053114e-05,4.857972869838943e-05,1.2983478623700202e-05,-9.924033301585056e-05,4.37047521686911e-05,1.1680586342079107e-05,0.7184447065606238,7.74995434426602e-05,2.071262422813125e-05
0.1975,3.9541084932314274e-05,4.781052520815701e-05,1.2777900343617316e-05,-0.00010209968564787387,5.701371215375746e-05,1.5237555516250703e-05,0.7178107871593244,7.308602602701646e-05,1.953306208242419e-05
0.2025,4.621349961757258e-05,4.7800060333680214e-05,1.2775103488268189e-05,-0.00010668562492327995,5.2141821419683535e-05,1.3935487948200474e-05,0.7171287566070259,8.550520281806534e-05,2.2852226695129872e-05
0.20750000000000002,5.791907532886407e-05,4.697370831148088e-05,1.2554251620558352e-05,-9.001340810975495e-05,4.9167443722716866e-05,1.3140552070992545e-05,0.7164836210375547,7.589767984873084e-05,2.0284508174643395e-05
0.21250000000000002,7.440160601761018e-05,4.3551477122856385e-05,1.1639621862975138e-05,-0.00011264111533795533,5.908329097230326e-05,1.5790673721530902e-05,0.7157516653578835,7.002587671802399e-05,1.871520277766542e-05
0.21750000000000003,6.341837082923053e-05,5.24362633711025e-05,1.401418086980782e-05,-8.358839817795412e-05,5.32142166440643e-05,1.4222097627689428e-05,0.7150456355824112,8.297529285375291e-05,2.2176079816141115e-05
0.22250000000000003,7.212660487056902e-05,4.237292745031554e-05,1.1324641213836392e-05,-7.660963986721158e-05,4.757504785818912e-05,1.2714966374622652e-05,0.7142973920762425,8.63757915257735e-05,2.3084901314346892e-05
0.22750000000000004,7.314553397939853e-05,5.338526307167988e-05,1.4267811708358654e-05,-6.526888333369609e-05,3.950515628072841e-05,1.0558197129531888e-05,0.7135656837299089,8.548957669222675e-05,2.2848050437331966e-05
0.23250000000000004,7.456351723778145e-05,4.479770368742629e-05,1.1972689922326344e-05,-8.623294585920675e-05,4.724621101527736e-05,1.2627081031599494e-05,0.7127748495223386,8.408157702366866e-05,2.2471746697300856e-05
0.23750000000000004,6.842014112368115e-05,5.025573309181633e-05,1.3431409639338156e-05,-7.678328853478783e-05,4.8621803849427364e-05,1.2994723680820254e-05,0.7119506290221533,5.4528223040253385e-05,1.4573280609015791e-05
0.24250000000000005,6.374111044262102e-05,4.653838807816338e-05,1.243790739437231e-05,-7.34435409062279e-05,5.074670043861391e-05,1.3562626182181722e-05,0.7111452409635619,7.325249012365913e-05,1.9577551483626742e-05
0.24750000000000005,5.691688874056441e-05,5.5371920872502244e-05,1.4798768339461442e-05,-7.84580509020346e-05,4.4118790402547334e-05,1.1791242714658752e-05,0.7103333924714934,7.867689100168654e-05,2.102728359891919e-05
0.25249999999999995,6.537194897122966e-05,4.915617296857027e-05,1.3137539835242036e-05,-5.875378419084488e-05,4.8797935777282635e-05,1.3041796918599283e-05,0.7094862536432152,8.773535066910641e-05,2.3448258779447435e-05
0.25749999999999995,5.873764320320696e-05,4.4426337076850506e-05,1.1873438020779054e-05,-7.744169230362283e-05,6.367766673945872e-05,1.7018572294873216e-05,0.7085831683588242,8.436274790021403e-05,2.2546892774955974e-05
0.26249999999999996,5.8194521545124815e-05,6.054221147696702e-05,1.618058662745884e-05,-4.499213247331147e-05,4.811615932578195e-05,1.2859584497464565e-05,0.7076689030578858,8.446505498028124e-05,2.2574235492231175e-05
0.26749999999999996,7.378654112970299e-05,4.11088557249783e-05,1.0986803834656377e-05,-4.8842994317386935e-05,6.023653855277739e-05,1.6098892102120915e-05,0.7067687535647896,9.062019684684641e-05,2.4219266351636533e-05
0.27249999999999996,8.033005770421894e-05,5.559267061470044e-05,1.4857766189713182e-05,-3.5595996569390934e-05,4.2077199353591324e-05,1.1245604555437478e-05,0.7058135748534851,8.604493127427499e-05,2.299647519263194e-05
0.27749999999999997,6.290580278676706e-05,5.7555095496481e-05,1.53822463007777e-05,-1.281247915276645e-05,5.220183946098763e-05,1.3951528444456556e-05,0.7048523949382729,7.211997711160787e-05,1.927487464954394e-05
0.2825,6.736651186892582e-05,6.0590769274102983e-05,1.619356424462593e-05,-8.07635747318865e-06,5.896917272068309e-05,1.576017433587802e-05,0.7038616985595774,7.520422470579436e-05,2.0099174491931627e-05
0.2875,8.022820599970081e-05,5.783460347020933e-05,1.5456947948960758e-05,-5.156858775571462e-05,5.590920557827563e-05,1.4942363717186991e-05,0.7028622584173545,7.98655407754583e-05,2.1344963613656355e-05
0.2925,7.454393967081877e-05,5.351550749547352e-05,1.4302620994813909e-05,-1.5798848988599312e-05,6.107297002765273e-05,1.6322437816870737e-05,0.7018134690981096,7.361014957914584e-05,1.967313999388184e-05
0.2975,6.74092762759958e-05,5.3496724199005984e-05,1.4297600947672786e-05,-3.810321537142446e-05,4.667873217119106e-05,1.2475415930969962e-05,0.7007849223115978,7.649954026674261e-05,2.044536213741915e-05
0.3025,7.051122941917039e-05,4.9934368510513927e-05,1.334552134223261e-05,-1.5587216697179177e-05,5.886338593113664e-05,1.5731901627125908e-05,0.699709730960526,8.566588602141269e-05,2.2895171087610953e-05
0.3075,7.351147850822516e-05,6.025290832938171e-05,1.6103267108946017e-05,-2.0850809814297277e-05,4.909208664856455e-05,1.3120412045767708e-05,0.6986366353550475,7.250231883649294e-05,1.9377059773771664e-05
0.3125,8.821613426406944e-05,6.168779962892156e-05,1.6486757939670368e-05,-2.6168960392483297e-05,5.7647295445360694e-05,1.5406887773619546e-05,0.6975075461942353,8.366676674426077e-05,2.2360883986868263e-05
0.3175,9.732427666126595e-05,4.753112407859476e-05,1.2703227250738774e-05,-1.766070192950727e-05,7.10040948762626e-05,1.897664257749755e-05,0.6963678463016315,8.801942872342362e-05,2.3524181833044316e-05
0.3225,9.392175478976125e-05,3.4701383150155556e-05,9.27433475678945e-06,2.056990169933867e-05,4.3140211435663096e-05,1.1529706484659891e-05,0.695199557694076,7.817088878415428e-05,2.0892048817851084e-05
0.3275,8.635760654411432e-05,4.5344203261262346e-05,1.2118748077134379e-05,-2.9163114362511083e-06,5.285792885843412e-05,1.412687571162368e-05,0.6940479851610064,5.398187854091325e-05,1.4427263899610124e-05
0.3325,8.581409851527762e-05,4.873771272818458e-05,1.3025701631705585e-05,4.389404265123463e-05,5.9768879888980254e-05,1.5973905066843388e-05,0.692815099113703,5.431369275815451e-05,1.4515944979394227e-05
0.3375,8.249779709528944e-05,4.0665159334415566e-05,1.0868220986282521e-05,4.1988497564940765e-05,5.841110972519755e-05,1.5611025726639186e-05,0.6915766579823575,6.568804512337067e-05,1.7555868518471416e-05
0.3425,7.128240579383233e-05,4.680419273363193e-05,1.250894667669894e-05,3.269276718589217e-05,5.342587606629626e-05,1.4278665987737609e-05,0.6903372875112386,8.304345246311133e-05,2.219429623798651e-05
0.34750000000000003,7.108742245011927e-05,4.320462470947301e-05,1.1546921656213975e-05,5.856493230431111e-05,5.112138537738743e-05,1.3662764944244217e-05,0.6890559671818648,5.580470834551533e-05,1.4914435656983062e-05
0.35250000000000004,7.504051400878386e-05,4.0476128994491016e-05,1.0817700502875158e-05,6.876298775541784e-05,3.8309109842366914e-05,1.0238540273030462e-05,0.6877465508873525,7.392463105786186e-05,1.975718870444194e-05
0.35750000000000004,7.038776892720654e-05,4.464985733026858e-05,1.1933176321300146e-05,7.754672714705502e-05,5.06571552788234e-05,1.3538694231568867e-05,0.686423864798157,6.692799846486198e-05,1.788725998843185e-05
0.36250000000000004,7.324386394852228e-05,4.13527023470211e-05,1.1051974585699685e-05,8.690732246964255e-05,5.14574510392813e-05,1.3752582270406092e-05,0.6850638318224012,8.908289138804484e-05,2.380840418551848e-05
0.36750000000000005,7.83024886415271e-05,4.220770078556511e-05,1.1280482530218141e-05,0.00010324885912430594,4.327333342753817e-05,1.156528483353428e-05,0.6837187821681233,6.614494561372309e-05,1.76779803109534e-05
0.37250000000000005,9.049123778940476e-05,4.2170541996094243e-05,1.1270551425996194e-05,9.787926776075675e-05,3.864603634678395e-05,1.032858766903417e-05,0.6823708734912349,6.839786509296627e-05,1.8280098368904627e-05
0.37749999999999995,9.536994759486037e-05,4.6669561593253045e-05,1.2472964990921192e-05,0.00011613511559417687,4.4105076678137586e-05,1.1787577567641756e-05,0.6809394668406886,7.55938307265582e-05,2.0203301080897528e-05
0.38249999999999995,9.497931236530899e-05,5.097362619992243e-05,1.3623274642970963e-05,0.00012893727854415023,4.818520936762507e-05,1.2878038897401661e-05,0.6795014061167512,8.144073627739385e-05,2.1765952319758512e-05
0.38749999999999996,9.709996017293802e-05,5.084767237558733e-05,1.3589612067455546e-05,0.00012396588034341047,4.601348347018488e-05,1.2297620736958422e-05,0.6780525634268019,7.857629948012097e-05,2.1000399383939717e-05
0.39249999999999996,9.306726021024588e-05,4.285645272132245e-05,1.1453868778261737e-05,0.00014562184973799678,5.303467365136423e-05,1.4174112744483735e-05,0.6765558210910012,7.178070743866816e-05,1.918420101541085e-05
0.39749999999999996,9.083657606922091e-05,4.939959696299902e-05,1.3202597634304346e-05,0.0001463055091124594,3.449872103307043e-05,9.220171027688681e-06,0.6750774845282874,7.886604441266558e-05,2.107783697444942e-05
0.40249999999999997,7.370192545806601e-05,4.5131765067898e-05,1.2061971581746194e-05,0.00015101465014084894,6.74572700021569e-05,1.802871375679819e-05,0.6735694372094266,6.80661596401615e-05,1.8191446357638902e-05
0.4075,6.757024538476927e-05,5.1791363243347056e-05,1.3841824060754423e-05,0.00016203300944016446,5.2239948402493264e-05,1.396171348749132e-05,0.672039524859988,7.021424871853443e-05,1.8765547312463363e-05
0.4125,7.592184777265148e-05,4.387414801328533e-05,1.1725859285880166e-05,0.00018607642817024747,7.35619931759291e-05,1.9660269653752098e-05,0.6704989388902979,6.724039261067276e-05,1.7970750835807407e-05
0.4175,7.316229177599516e-05,4.816737661850819e-05,1.2873272894725972e-05,0.00019867484129910222,4.062977307330755e-05,1.0858763610192155e-05,0.6689266470582009,6.400753507413562e-05,1.710673331566655e-05
0.4225,6.837792776963748e-05,4.858203882396666e-05,1.2984096030730947e-05,0.00019711382125817709,4.9781774468500585e-05,1.3304738869055687e-05,0.6673532706879535,6.540637080374821e-05,1.7480587889994283e-05
0.4275,7.661624110004692e-05,6.44861263645483e-05,1.7234642218310715e-05,0.00019814068729225989,5.3907698074205304e-05,1.4407438335952118e-05,0.6657680467645193,7.001191696474137e-05,1.8711471876666313e-05
0.4325,8.142424378034748e-05,6.774138310727057e-05,1.810464617811446e-05,0.0002082547140234279,5.0689072880974735e-05,1.35472245695587e-05,0.6641467689241076,6.889934177606546e-05,1.841412365001984e-05
0.4375,7.107728235964888e-05,5.143210161703728e-05,1.3745807352335393e-05,0.00023130956784869826,5.614312125634688e-05,1.5004880311811101e-05,0.6624666477624908,7.109841154969732e-05,1.9001849768772763e-05
0.4425,8.253293912226237e-05,5.639378289466311e-05,1.5071872452567299e-05,0.00022814362446108848,4.331722385001938e-05,1.1577015042354668e-05,0.6608540072696009,7.423992379729214e-05,1.9841454233548048e-05
0.4475,7.251987718330967e-05,5.4955265467174466e-05,1.4687412498384019e-05,0.00022502788884796543,4.4258868059224106e-05,1.1828680043146367e-05,0.6591888147340749,7.416974091575929e-05,1.982269706946858e-05
0.4525,6.705618860941022e-05,5.70306331230912e-05,1.5242077835529201e-05,0.0002308546972937086,3.905640236091023e-05,1.043826259960821e-05,0.6575189988420023,7.042754619602383e-05,1.882255346119397e-05
0.4575,6.059433609365213e-05,5.809217295123328e-05,1.5525786288337955e-05,0.00026996618972295757,4.3106132924919434e-05,1.1520598619556014e-05,0.6558115565331903,5.1876560681141864e-05,1.3864594033787219e-05
0.4625,4.005628271553856e-05,6.296898954888138e-05,1.682917034880451e-05,0.0002828421554895766,5.689997962639282e-05,1.520715921974139e-05,0.6541053561235011,6.935237875256619e-05,1.8535202874991672e-05
0.4675,2.8548470169200548e-05,6.257019365260103e-05,1.672258766229504e-05,0.00028181466332277786,4.281530425782067e-05,1.1442871388803463e-05,0.6524019818826368,6.620836066076742e-05,1.7694928695182405e-05
0.47250000000000003,1.8819642016140792e-05,6.467301747258807e-05,1.7284590967947808e-05,0.00029531187129136624,5.917461244415156e-05,1.5815080411510346e-05,0.6507075602966759,7.944469095633912e-05,2.1232486768339946e-05
0.47750000000000004,1.7786887409400624e-05,4.310949867382963e-05,1.1521498153789719e-05,0.0002978967853969641,4.968571691472384e-05,1.3279066407938243e-05,0.648959426904269,6.816554711959404e-05,1.8218008778822586e-05
0.48250000000000004,9.859790911563437e-06,4.411573642984428e-05,1.1790426506121365e-05,0.0003077790065660603,4.3144934737274364e-05,1.1530968840114448e-05,0.6472337606142697,5.690641539924614e-05,1.5208879252386835e-05
0.48750000000000004,2.43946669830197e-06,5.524253183654801e-05,1.4764187665022465e-05,0.00030452919185058685,5.4246858053822536e-05,1.4498082653311611e-05,0.6454655514334683,6.039900545323025e-05,1.614231320770561e-05
0.49250000000000005,5.384308555915429e-06,5.015734555022539e-05,1.340511446278385e-05,0.00031384144766887715,4.0075764566640656e-05,1.0710698608670314e-05,0.6436833713128516,6.29816130004506e-05,1.683254410814812e-05
0.49750000000000005,7.2259686908305815e-06,3.835842396024012e-05,1.025172002541707e-05,0.0003154076958061992,4.1540244994630566e-05,1.1102097466611337e-05,0.6418865851547978,7.275129796955492e-05,1.944360224608409e-05
